ccaa,ano,esp_esp,esp_quir,g_seguros_nom,g_dental,g_paramed,g_medicos,pib_pc,ipc_seguros,g_seguros_real,g_bolsillo_total,ipc_sanidad,g_bolsillo_real,g_dental_real,g_paramed_real,g_medicos_real
andalucia,2016,54.0,76.0,124.95,367.25,65.42,33.1,17865.0,77.23108333333333,161.78719060654552,465.77,90.02616666666667,517.3718011615141,407.9369516640532,72.66776141010854,36.767088087352384
andalucia,2017,56.0,78.0,118.29,387.05,80.26,84.76,18691.0,79.95283333333333,147.9497286942093,552.07,90.33725,611.1211045277557,428.4500579771911,88.84485635770406,93.82619019286064
andalucia,2018,176.0,214.0,144.22,394.49,66.93,59.25,19291.0,81.80033333333334,176.3073500107986,520.6700000000001,90.35783333333336,576.2311697749873,436.58638708689705,74.07216124040158,65.57262144768853
andalucia,2019,131.0,161.0,151.32,357.16,76.13,74.24,19744.0,83.9165,180.3221059028916,507.53,91.26658333333334,556.0961980425474,391.3370994677679,83.41497755202478,81.34412102275476
andalucia,2020,112.0,188.0,147.7,331.78,57.02,36.09,17772.0,85.4445,172.86074586427443,424.89,91.81741666666666,462.7553414430269,361.3475656851596,62.10150761157334,39.30626814629397
andalucia,2021,105.0,128.0,176.94,412.74,88.82,48.85,19591.0,87.67916666666667,201.8039252958228,550.41,92.49083333333334,595.0968113957238,446.2496283415473,96.03113822090477,52.81604483327176
andalucia,2022,123.0,134.0,191.86,447.54,91.02,87.14,21569.0,90.23133333333334,212.631236747028,625.7,93.22208333333332,671.1928951026447,480.0793803328075,97.63780935311286,93.4757054167244
andalucia,2023,143.0,174.0,195.54,484.78,88.4,80.4,23165.0,92.9385,210.39719814716184,653.5799999999999,95.77341666666666,682.4231845823606,506.1738600046464,92.30118656794988,83.94813800976438
andalucia,2024,150.0,176.0,218.02,526.32,166.27,105.61,,96.26141666666666,226.4874209725773,798.2,97.414,819.3894101463857,540.2919498224076,170.68388527316404,108.41357505081406
aragon,2016,79.0,99.0,149.09,445.5,65.14,,26243.0,77.72233333333334,191.8238858843661,510.64,90.0755,566.9022098128792,494.5850980566303,72.31711175624893,
aragon,2017,91.0,89.0,181.97,411.45,90.07,,27357.0,80.48808333333334,226.0831572375621,501.52,90.25941666666668,555.6428553622752,455.8527134287927,99.79014193348247,
aragon,2018,90.0,90.0,176.99,392.75,78.52,,28281.0,82.32483333333333,214.9898066399568,471.27,90.67591666666668,519.7300643041012,433.1359576366749,86.59410666742637,
aragon,2019,100.0,113.0,196.25,359.61,113.4,,29043.0,84.42741666666666,232.4481877431206,473.01,91.34291666666668,517.8398252008229,393.6922676908901,124.1475575099328,
aragon,2020,147.0,180.0,240.23,401.9,72.67,,27003.0,85.9465,279.511091202085,474.57,92.46391666666666,513.2488619434429,434.65604150087376,78.59282044256905,
aragon,2021,160.0,183.0,227.31,518.88,93.51,,29144.0,88.18541666666665,257.7637080961044,612.39,92.70216666666666,660.599446614876,559.7280178636602,100.87142875121582,
aragon,2022,80.0,128.0,258.23,575.34,108.75,,32717.0,90.80183333333332,284.3885310685724,684.09,94.25516666666664,725.7851470564833,610.4068565648922,115.3782904915911,
aragon,2023,106.0,146.0,263.2,609.05,128.04,,34742.0,93.40316666666666,281.78916132393795,737.0899999999999,96.53875,763.5172404863332,630.8865610959331,132.63067939040022,
aragon,2024,128.0,144.0,294.74,598.37,221.1,,,96.5125,305.39049345939645,819.47,98.47083333333336,832.1956586129564,607.6621673084245,224.53349130453176,
asturias,2016,71.0,73.0,87.41,433.02,105.86,,20913.0,75.21458333333334,116.214165027837,538.88,96.01533333333332,561.2436902439194,450.9904668004416,110.2532234434778,
asturias,2017,69.0,70.0,73.66,422.55,107.41,35.52,21897.0,78.02358333333333,94.4073533322724,565.48,95.82391666666666,590.1240730610922,440.96506874153727,112.09101416052184,37.06799015903302
asturias,2018,62.0,73.0,88.79,409.95,101.54,,22651.0,79.89141666666667,111.1383471524371,511.49,95.1675,537.4628943704521,430.7668058948695,106.69608847558251,
asturias,2019,78.0,83.0,114.28,372.58,103.1,,23220.0,82.0345,139.30724268448031,475.68,95.66308333333332,497.2451058706904,389.47103419378954,107.7740716769008,
asturias,2020,37.0,60.0,109.04,314.48,82.67,,21069.0,83.58024999999999,130.46144274514614,397.15,96.3845,412.04758026446154,326.27652786495753,85.77105239950407,
asturias,2021,79.0,95.0,127.97,404.19,165.22,,23446.0,85.78949999999999,149.1674389056936,569.41,95.52191666666666,596.1040354613209,423.138494394393,172.96554106692795,
asturias,2022,81.0,94.0,117.98,510.36,141.14,106.47,26544.0,88.15016666666666,133.83979232408333,757.97,95.68008333333334,792.1920357859219,533.4025454618298,147.5124133287927,111.27707699529942
asturias,2023,100.0,98.0,132.34,562.65,133.74,,28130.0,91.23433333333332,145.05504141350298,696.39,96.36983333333336,722.6223973961422,583.8445294948799,138.7778679012623,
asturias,2024,97.0,90.0,197.05,794.19,224.22,113.19,,95.33691666666668,206.68803532734344,1131.6,98.40683333333334,1149.9201444344142,807.0476135634212,227.8500307397352,115.0225001312578
canarias,2016,117.0,182.0,147.14,369.8,50.1,61.91,19450.0,76.41491666666666,192.55402795483863,481.81000000000006,92.71483333333332,519.6687333382469,398.857428422996,54.0366608004113,66.77464411483959
canarias,2017,123.0,177.0,160.94,235.08,39.99,37.68,20296.0,79.14333333333333,203.3525670724003,312.75,92.80908333333332,336.98210214697013,253.2941728943557,43.08845488363657,40.599474368977894
canarias,2018,117.0,140.0,147.08,260.37,52.08,35.6,20853.0,81.00233333333334,181.5750163575535,348.05,92.56983333333334,375.986417461412,281.26873585527323,56.26022876423025,38.45745284190854
